target_id,role,phi,policy,budget,n_folds,pr_auc_mean,pr_auc_std,delta_mean,delta_worst_fold,positive_folds,bedroc20_mean,recall5_mean,coverage_mean,eval_coverage_mean,eval_mean_depth_mean,jobs_used_mean
EGFR,secondary,min,s3_top10,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s3_top10,1200,5,0.31841173766834874,0.05775719914840651,0.009172378547378535,-0.006712962962962976,4,0.3505942640681331,0.08333333333333333,1.0,1.0,2.0166666666666666,1200.0
EGFR,secondary,min,s3_top10,2400,5,0.31841173766834874,0.05775719914840651,0.009172378547378535,-0.006712962962962976,4,0.3505942640681331,0.08333333333333333,1.0,1.0,2.118333333333333,1260.0
EGFR,secondary,min,s3_top10,3600,5,0.31841173766834874,0.05775719914840651,0.009172378547378535,-0.006712962962962976,4,0.3505942640681331,0.08333333333333333,1.0,1.0,2.118333333333333,1260.0
EGFR,secondary,min,s3_top10,4800,5,0.31841173766834874,0.05775719914840651,0.009172378547378535,-0.006712962962962976,4,0.3505942640681331,0.08333333333333333,1.0,1.0,2.118333333333333,1260.0
EGFR,secondary,min,s3_top25,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s3_top25,1200,5,0.3140946560344968,0.05974814353965813,0.004855296913526619,-0.018206791353637064,3,0.3457918482127168,0.08333333333333333,1.0,1.0,2.0333333333333337,1200.0
EGFR,secondary,min,s3_top25,2400,5,0.3017763740681983,0.06252236043566388,-0.00746298505277192,-0.015022353580990355,1,0.31387238280784496,0.08333333333333333,1.0,1.0,3.8416666666666672,2250.0
EGFR,secondary,min,s3_top25,3600,5,0.3017763740681983,0.06252236043566388,-0.00746298505277192,-0.015022353580990355,1,0.31387238280784496,0.08333333333333333,1.0,1.0,3.8416666666666672,2250.0
EGFR,secondary,min,s3_top25,4800,5,0.3017763740681983,0.06252236043566388,-0.00746298505277192,-0.015022353580990355,1,0.31387238280784496,0.08333333333333333,1.0,1.0,3.8416666666666672,2250.0
EGFR,secondary,min,s3_top50,600,5,0.30923935912097017,0.057033049704604724,0.0,0.0,0,0.33143339167206626,0.06666666666666668,1.0,1.0,1.0,600.0
EGFR,secondary,min,s3_top50,1200,5,0.3102291134357692,0.06079207249600889,0.000989754314799074,-0.031308542541048034,2,0.34116355561712347,0.08333333333333333,1.0,1.0,1.9933333333333334,1200.0
EGFR,secondary,min,s3_top50,2400,5,0.28500555171019454,0.04774329779501103,-0.024233807410775632,-0.042749593343615944,0,0.27432452100273885,0.058333333333333334,1.0,1.0,3.9799999999999995,2400.0
EGFR,secondary,min,s3_top50,3600,5,0.28448911436212976,0.04803650219417831,-0.024750244758840422,-0.04132517899401955,0,0.2735369266440356,0.058333333333333334,1.0,1.0,5.966666666666667,3600.0
EGFR,secondary,min,s3_top50,4800,5,0.28448911436212976,0.04803650219417831,-0.024750244758840422,-0.04132517899401955,0,0.2735369266440356,0.058333333333333334,1.0,1.0,6.463333333333333,3900.0
