target_id,phi,policy,budget,n_folds,folds,mean_delta,worst_fold_delta,positive_folds,bootstrap_mean,se,ci95_low,ci95_high,mde
CDK2,min,s3_top10,4800,4,0|1|2|3,0.0062500000000000056,0.0,1,0.003949187672435712,0.005584986440166256,0.0,0.017363591269841223,0.0164756976988866
CDK2,min,s3_top25,4800,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s3_top50,4800,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s4_scaffold25,4800,4,0|1|2|3,0.029603174603174603,0.0,3,0.024200309975218402,0.014010176618945873,0.0013949342757936668,0.05382588439222705,0.04132999017180961
CDK2,min,s4_scaffold50,4800,4,0|1|2|3,0.03713827650892279,0.014052429768373953,4,0.02953599479411682,0.02484773854910671,-0.018920346744033572,0.07722936811973595,0.0733007739986324
CDK2,min,s5_score_oracle,4800,4,0|1|2|3,0.04194465187887761,0.011281564866023941,4,0.03515285887797468,0.031223183485917412,-0.024177357777073194,0.09764348686240786,0.09210832252182333
EGFR,mean,s2_uniform,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
EGFR,mean,s3_top10,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
EGFR,mean,s3_top25,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
EGFR,mean,s3_top50,600,5,1|2|3|4|5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
EGFR,mean,s4_scaffold25,600,5,1|2|3|4|5,0.04865241156184086,0.015464998322663681,5,0.046245794558771126,0.0158731362465166,0.015607839101423833,0.07911250484187529,0.04682571697041791
EGFR,mean,s4_scaffold50,600,5,1|2|3|4|5,0.03232424786876616,-0.02355814731097644,4,0.03164150165793714,0.014929118861553643,0.0045829758004462115,0.06315069088789158,0.04404086776375088
EGFR,mean,s5_score_oracle,600,5,1|2|3|4|5,-0.0268351202367715,-0.0474232221698081,0,-0.028283698035396425,0.01681187108860683,-0.06281278307723659,0.003653946531431882,0.049594982687243945
